id,customer_id,surname,credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited,complain,satisfaction_score,card_type,point_earned,cluster_label,created_at
1,15634602,Hargrave,619,France,Female,42,2,0.00,1,1,1,10134888.00,1,1,2,DIAMOND,464,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
2,15647311,Hill,608,Spain,Female,41,1,8380786.00,1,0,1,11254258.00,0,1,3,DIAMOND,456,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
3,15619304,Onio,502,France,Female,42,8,1596608.00,3,1,0,11393157.00,1,1,3,DIAMOND,377,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
4,15701354,Boni,699,France,Female,39,1,0.00,2,0,0,9382663.00,0,0,5,GOLD,350,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
5,15737888,Mitchell,850,Spain,Female,43,2,12551082.00,1,1,1,790841.00,0,0,5,GOLD,425,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
6,15574012,Chu,645,Spain,Male,44,8,11375578.00,2,1,0,14975671.00,1,1,5,DIAMOND,484,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
7,15592531,Bartlett,822,France,Male,50,7,0.00,2,1,1,100628.00,0,0,2,SILVER,206,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
8,15656148,Obinna,376,Germany,Female,29,4,11504674.00,4,1,0,11934688.00,1,1,2,DIAMOND,282,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
9,15792365,He,501,France,Male,44,4,14205107.00,2,0,1,749405.00,0,0,3,GOLD,251,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
10,15592389,H?,684,France,Male,27,2,13460388.00,1,1,1,7172573.00,0,0,3,GOLD,342,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
11,15767821,Bearce,528,France,Male,31,6,10201672.00,2,0,0,8018112.00,0,0,3,GOLD,264,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
12,15737173,Andrews,497,Spain,Male,24,3,0.00,2,1,0,7639001.00,0,0,3,GOLD,249,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
13,15632264,Kay,476,France,Female,34,10,0.00,2,1,0,2626098.00,0,0,3,SILVER,119,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
14,15691483,Chin,549,France,Female,25,5,0.00,2,0,0,19085780.00,0,0,3,PLATINUM,549,Khách hàng trung thành,2026-06-23 13:35:14.507
15,15600882,Scott,635,Spain,Female,35,7,0.00,2,1,1,6595165.00,0,0,2,GOLD,318,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
16,15643966,Goforth,616,Germany,Male,45,3,14312941.00,2,0,1,6432726.00,0,0,5,GOLD,308,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
17,15737452,Romeo,653,Germany,Male,58,1,13260288.00,1,1,0,509767.00,1,0,2,SILVER,163,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
18,15788218,Henderson,549,Spain,Female,24,9,0.00,2,1,1,1440641.00,0,0,3,SILVER,544,Nguy cơ rời bỏ cao,2026-06-23 13:35:14.507
