id,customer_id,surname,credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited,complain,satisfaction_score,card_type,point_earned,cluster_label,created_at
1,15621958,Smith,717,France,Male,54,4,7933032.04,3,0,0,7410982.52,0,0,2,DIAMOND,422,Nguy cơ rời bỏ cao,2026-07-07 20:40:28.559
2,15646867,Davis,564,Spain,Female,43,2,17837938.18,1,0,0,12659447.1,0,0,1,GOLD,734,Khách hàng tiềm năng,2026-07-07 20:40:28.559
3,15631932,Brown,624,France,Female,70,0,2932096.43,1,0,1,3473624.62,0,1,3,PLATINUM,640,Khách hàng trung thành,2026-07-07 20:40:28.559
4,15759178,Johnson,706,Spain,Male,79,0,10266523.37,2,0,0,14535913.96,0,1,3,GOLD,748,Khách hàng tiềm năng,2026-07-07 20:40:28.559
5,15619879,Smith,633,France,Male,40,7,4664561.45,1,1,0,10808810.94,1,0,2,GOLD,294,Khách hàng trung thành,2026-07-07 20:40:28.559
6,15610268,Davis,571,France,Male,26,9,11626108.34,2,0,0,3392850.45,0,1,5,PLATINUM,837,Khách hàng tiềm năng,2026-07-07 20:40:28.559
7,15707892,Miller,551,Germany,Female,29,10,17262770.44,1,0,1,11175584.16,0,1,4,GOLD,431,Khách hàng trung thành,2026-07-07 20:40:28.559
8,15554886,Miller,714,Germany,Male,70,1,17607199.37,3,1,1,8182680.34,0,1,4,GOLD,269,Nguy cơ rời bỏ cao,2026-07-07 20:40:28.559
9,15637337,Garcia,773,France,Female,18,2,4733703.87,1,1,0,10754836.39,0,0,3,DIAMOND,620,Khách hàng trung thành,2026-07-07 20:40:28.559
10,15587498,Davis,559,France,Female,75,1,18153874.13,1,1,0,11632802.77,0,0,2,DIAMOND,562,Khách hàng tiềm năng,2026-07-07 20:40:28.559
11,15675203,Jones,495,Germany,Female,75,2,11837774.78,4,1,0,1765707.6,0,0,4,PLATINUM,139,Khách hàng tiềm năng,2026-07-07 20:40:28.559
12,15691335,Williams,632,Germany,Male,18,6,7004364.93,2,1,0,7838507.37,1,0,3,DIAMOND,636,Khách hàng trung thành,2026-07-07 20:40:28.559
13,15778167,Brown,579,Germany,Male,64,0,14163623.91,1,1,1,14014207.96,0,0,5,DIAMOND,360,Nguy cơ rời bỏ cao,2026-07-07 20:40:28.559
14,15541090,Davis,512,Spain,Female,51,9,9633339.76,1,1,1,5149311.79,0,0,4,GOLD,494,Nguy cơ rời bỏ cao,2026-07-07 20:40:28.559
15,15564820,Garcia,717,France,Female,49,7,7559751.8,4,0,1,9111304.91,0,1,3,SILVER,325,Khách hàng trung thành,2026-07-07 20:40:28.559
16,15762913,Williams,841,Germany,Male,79,9,14101687.29,4,0,1,5853841.98,0,0,3,DIAMOND,223,Khách hàng trung thành,2026-07-07 20:40:28.559
17,15694027,Williams,451,France,Female,71,9,4974483.09,2,1,0,7086885.6,0,1,1,SILVER,137,Khách hàng tiềm năng,2026-07-07 20:40:28.559
18,15752709,Smith,667,Spain,Male,65,9,6605050.58,4,0,0,8454745.21,0,0,5,DIAMOND,427,Nguy cơ rời bỏ cao,2026-07-07 20:40:28.559
19,15699041,Williams,694,Spain,Female,42,1,8689036.89,3,0,0,8459368.71,0,0,1,DIAMOND,350,Khách hàng trung thành,2026-07-07 20:40:28.559
20,15767455,Jones,785,Germany,Male,57,2,5073643.48,4,0,1,3425091.7,0,1,2,PLATINUM,275,Nguy cơ rời bỏ cao,2026-07-07 20:40:28.559
21,15603355,Miller,786,Spain,Female,62,8,8104041.74,3,1,0,10426287.44,1,0,1,PLATINUM,701,Khách hàng trung thành,2026-07-07 20:40:28.559
22,15735796,Garcia,512,France,Male,70,6,11429460.5,2,1,1,1774087.61,1,0,1,PLATINUM,553,Khách hàng trung thành,2026-07-07 20:40:28.559
23,15714176,Williams,500,Germany,Female,18,3,14819477.22,2,0,1,2512959.21,0,1,4,SILVER,136,Nguy cơ rời bỏ cao,2026-07-07 20:40:28.559
24,15684779,Smith,512,France,Male,33,9,15343897.06,2,1,0,539308.04,0,0,3,GOLD,415,Khách hàng trung thành,2026-07-07 20:40:28.559
25,15758795,Jones,839,France,Male,78,4,16455807.04,2,0,0,2192092.93,0,0,5,DIAMOND,787,Khách hàng trung thành,2026-07-07 20:40:28.559
26,15656730,Johnson,480,Spain,Female,56,1,14884233.14,2,0,0,7360909.92,0,1,1,DIAMOND,895,Khách hàng tiềm năng,2026-07-07 20:40:28.559
